degree,drug1,drug2
1,艾司唑仑片,氢化可的松注射液
1,艾司唑仑片,紫杉醇注射液
1,氨茶碱片,地西泮片
1,氨茶碱片,地西泮注射液
1,氨茶碱注射液,地西泮片
1,氨茶碱注射液,地西泮注射液
1,复方甲氧那明胶囊,地西泮片
1,复方甲氧那明胶囊,地西泮注射液
0,氨茶碱片,乳酸环丙沙星氯化钠注射液
0,氨茶碱注射液,乳酸环丙沙星氯化钠注射液
0,复方甲氧那明胶囊,乳酸环丙沙星氯化钠注射液
0,氨茶碱片,氧氟沙星滴眼液
0,氨茶碱注射液,氧氟沙星滴眼液
0,复方甲氧那明胶囊,氧氟沙星滴眼液
0,氨茶碱片,左氧氟沙星滴眼液
0,氨茶碱片,左氧氟沙星氯化钠注射液
0,氨茶碱片,左氧氟沙星片
0,氨茶碱注射液,左氧氟沙星滴眼液
0,氨茶碱注射液,左氧氟沙星氯化钠注射液
0,氨茶碱注射液,左氧氟沙星片
0,复方甲氧那明胶囊,左氧氟沙星滴眼液
0,复方甲氧那明胶囊,左氧氟沙星氯化钠注射液
0,复方甲氧那明胶囊,左氧氟沙星片
1,氨茶碱片,苯巴比妥片
1,氨茶碱注射液,苯巴比妥片
1,复方甲氧那明胶囊,苯巴比妥片
1,氨茶碱片,西咪替丁注射液
1,氨茶碱注射液,西咪替丁注射液
1,复方甲氧那明胶囊,西咪替丁注射液
1,氨茶碱片,卡马西平片
1,氨茶碱注射液,卡马西平片
1,复方甲氧那明胶囊,卡马西平片
1,奥氮平片,氨茶碱片
1,奥氮平片,氨茶碱注射液
1,奥氮平片,复方甲氧那明胶囊
1,奥氮平片,卡马西平片
0,奥氮平片,铝镁混悬液
0,奥氮平片,氢化可的松注射液
0,奥氮平片,紫杉醇注射液
1,奥美拉唑肠溶胶囊,阿司匹林肠溶片
1,奥美拉唑碳酸氢钠胶囊,阿司匹林肠溶片
1,奥美拉唑肠溶胶囊,多潘立酮片
1,奥美拉唑碳酸氢钠胶囊,多潘立酮片
1,奥美拉唑肠溶胶囊,伏立康唑片
1,奥美拉唑肠溶胶囊,注射用伏立康唑
1,奥美拉唑碳酸氢钠胶囊,伏立康唑片
1,奥美拉唑碳酸氢钠胶囊,注射用伏立康唑
1,奥美拉唑肠溶胶囊,乳酸环丙沙星氯化钠注射液
1,奥美拉唑碳酸氢钠胶囊,乳酸环丙沙星氯化钠注射液
1,奥美拉唑肠溶胶囊,甲氨蝶呤注射液
1,奥美拉唑碳酸氢钠胶囊,甲氨蝶呤注射液
1,奥美拉唑肠溶胶囊,西洛他唑片
1,奥美拉唑碳酸氢钠胶囊,西洛他唑片
0,奥美拉唑肠溶胶囊,氟康唑胶囊
0,奥美拉唑肠溶胶囊,氟康唑氯化钠注射液
0,奥美拉唑碳酸氢钠胶囊,氟康唑胶囊
0,奥美拉唑碳酸氢钠胶囊,氟康唑氯化钠注射液
0,奥美拉唑肠溶胶囊,地西泮片
0,奥美拉唑肠溶胶囊,地西泮注射液
0,奥美拉唑碳酸氢钠胶囊,地西泮片
0,奥美拉唑碳酸氢钠胶囊,地西泮注射液
0,奥美拉唑肠溶胶囊,硝苯地平控释片
0,奥美拉唑肠溶胶囊,硝苯地平片
0,奥美拉唑碳酸氢钠胶囊,硝苯地平控释片
0,奥美拉唑碳酸氢钠胶囊,硝苯地平片
0,奥美拉唑肠溶胶囊,地高辛片
0,奥美拉唑碳酸氢钠胶囊,地高辛片
0,奥美拉唑肠溶胶囊,环孢素软胶囊
0,奥美拉唑碳酸氢钠胶囊,环孢素软胶囊
1,奥美拉唑肠溶胶囊,米曲菌胰酶片
1,奥美拉唑肠溶胶囊,胰酶肠溶胶囊
1,奥美拉唑肠溶胶囊,胰酶肠溶片
1,奥美拉唑碳酸氢钠胶囊,米曲菌胰酶片
1,奥美拉唑碳酸氢钠胶囊,胰酶肠溶胶囊
1,奥美拉唑碳酸氢钠胶囊,胰酶肠溶片
0,奥美拉唑肠溶胶囊,间苯三酚注射液
0,奥美拉唑肠溶胶囊,维生素C片
0,奥美拉唑肠溶胶囊,维生素C注射液
0,奥美拉唑肠溶胶囊,盐酸异丙嗪注射液
0,奥美拉唑肠溶胶囊,右旋糖酐铁片
0,奥美拉唑肠溶胶囊,长春西汀注射液
0,奥美拉唑碳酸氢钠胶囊,间苯三酚注射液
0,奥美拉唑碳酸氢钠胶囊,维生素C片
0,奥美拉唑碳酸氢钠胶囊,维生素C注射液
0,奥美拉唑碳酸氢钠胶囊,盐酸异丙嗪注射液
0,奥美拉唑碳酸氢钠胶囊,右旋糖酐铁片
0,奥美拉唑碳酸氢钠胶囊,长春西汀注射液
1,注射用醋酸奥曲肽微球,多西他赛注射液
1,注射用醋酸奥曲肽微球,环孢素软胶囊
0,注射用醋酸奥曲肽微球,西咪替丁注射液
0,巴氯芬片,盐酸阿米替林片
1,巴氯芬片,铝镁混悬液
1,巴氯芬片,氢化可的松注射液
1,巴氯芬片,紫杉醇注射液
0,巴氯芬片,多巴丝肼片
1,苯巴比妥片,醋酸地塞米松片
1,苯巴比妥片,妥布霉素地塞米松滴眼液
1,苯巴比妥片,拉莫三嗪片
0,苯巴比妥片,氨酚羟考酮片
0,苯巴比妥片,氨酚曲马多片
0,苯巴比妥片,氨酚双氢可待因片
0,苯巴比妥片,对乙酰氨基酚缓释片
0,苯巴比妥片,酚麻美敏胶囊
0,苯巴比妥片,氟哌啶醇注射液
1,苯巴比妥片,环孢素软胶囊
0,苯巴比妥片,布洛芬颗粒
1,苯巴比妥片,卡马西平片
1,苯巴比妥片,注射用环磷酰胺
0,苯巴比妥片,伏立康唑片
0,苯巴比妥片,注射用伏立康唑
1,苯巴比妥片,铝镁混悬液
1,苯巴比妥片,氢化可的松注射液
1,苯巴比妥片,紫杉醇注射液
1,苯溴马隆片,吡嗪酰胺片
1,盐酸吡格列酮片,复方磺胺甲噁唑片
1,盐酸吡格列酮片,辛伐他汀片
1,盐酸吡格列酮片,地高辛片
1,盐酸吡格列酮片,格列吡嗪控释片
1,盐酸吡格列酮片,盐酸二甲双胍片
0,丙泊酚注射液,地西泮片
0,丙泊酚注射液,地西泮注射液
0,丙泊酚注射液,咪达唑仑注射液
1,泊沙康唑口服混悬液,注射用醋酸卡泊芬净
1,吸入用布地奈德混悬液,甲硝唑氯化钠注射液
1,布洛芬颗粒,伏立康唑片
1,布洛芬颗粒,注射用伏立康唑
1,布洛芬颗粒,氟康唑胶囊
1,布洛芬颗粒,氟康唑氯化钠注射液
1,布洛芬颗粒,甲氨蝶呤注射液
0,布洛芬颗粒,氨酚羟考酮片
0,布洛芬颗粒,氨酚曲马多片
0,布洛芬颗粒,氨酚双氢可待因片
0,布洛芬颗粒,对乙酰氨基酚缓释片
0,布洛芬颗粒,酚麻美敏胶囊
1,布洛芬颗粒,呋塞米片
1,布洛芬颗粒,呋塞米注射液
1,布洛芬颗粒,硝苯地平控释片
1,布洛芬颗粒,硝苯地平片
1,布洛芬颗粒,地高辛片
1,达肝素钠注射液,甲磺酸酚妥拉明注射液
1,达肝素钠注射液,蒙脱石散
1,达肝素钠注射液,葡萄糖氯化钠注射液
1,达肝素钠注射液,亚甲蓝注射液
1,达肝素钠注射液,右旋糖酐01葡萄糖注射液
1,单硝酸异山梨酯缓释胶囊,吸入用乙酰半胱氨酸溶液
1,单硝酸异山梨酯缓释胶囊,乙酰半胱氨酸颗粒
0,单硝酸异山梨酯缓释胶囊,铝镁混悬液
0,单硝酸异山梨酯缓释胶囊,氢化可的松注射液
0,单硝酸异山梨酯缓释胶囊,紫杉醇注射液
1,地高辛片,阿加曲班注射液
0,地高辛片,阿卡波糖片
1,地高辛片,阿瑞匹坦胶囊
1,地高辛片,伏立康唑片
1,地高辛片,注射用伏立康唑
1,地高辛片,红霉素软膏
1,地高辛片,红霉素眼膏
1,地高辛片,双嘧达莫片
1,地高辛片,硝酸异山梨酯片
1,地高辛片,左氧氟沙星滴眼液
1,地高辛片,左氧氟沙星氯化钠注射液
1,地高辛片,左氧氟沙星片
0,地高辛片,柳氮磺吡啶肠溶片
1,地高辛片,螺内酯片
0,地高辛片,硫酸镁注射液
0,地高辛片,盐酸甲氧氯普胺注射液
1,地西泮片,奥美拉唑肠溶胶囊
1,地西泮片,奥美拉唑碳酸氢钠胶囊
1,地西泮注射液,奥美拉唑肠溶胶囊
1,地西泮注射液,奥美拉唑碳酸氢钠胶囊
1,地西泮片,伏立康唑片
1,地西泮片,注射用伏立康唑
1,地西泮注射液,伏立康唑片
1,地西泮注射液,注射用伏立康唑
1,地西泮片,氟康唑胶囊
1,地西泮片,氟康唑氯化钠注射液
1,地西泮注射液,氟康唑胶囊
1,地西泮注射液,氟康唑氯化钠注射液
1,地西泮片,红霉素软膏
1,地西泮片,红霉素眼膏
1,地西泮注射液,红霉素软膏
1,地西泮注射液,红霉素眼膏
1,地西泮片,乳酸环丙沙星氯化钠注射液
1,地西泮注射液,乳酸环丙沙星氯化钠注射液
1,地西泮片,注射用兰索拉唑
1,地西泮注射液,注射用兰索拉唑
1,地西泮片,尼莫地平片
1,地西泮注射液,尼莫地平片
1,地西泮片,铝镁混悬液
1,地西泮片,氢化可的松注射液
1,地西泮片,紫杉醇注射液
1,地西泮注射液,铝镁混悬液
1,地西泮注射液,氢化可的松注射液
1,地西泮注射液,紫杉醇注射液
0,地西泮片,西咪替丁注射液
0,地西泮注射液,西咪替丁注射液
1,地西泮片,多巴丝肼片
1,地西泮注射液,多巴丝肼片
1,地西泮片,地高辛片
1,地西泮注射液,地高辛片
1,氨酚羟考酮片,阿加曲班注射液
1,氨酚曲马多片,阿加曲班注射液
1,氨酚双氢可待因片,阿加曲班注射液
1,对乙酰氨基酚缓释片,阿加曲班注射液
1,酚麻美敏胶囊,阿加曲班注射液
1,氨酚羟考酮片,乳酸环丙沙星氯化钠注射液
1,氨酚曲马多片,乳酸环丙沙星氯化钠注射液
1,氨酚双氢可待因片,乳酸环丙沙星氯化钠注射液
1,对乙酰氨基酚缓释片,乳酸环丙沙星氯化钠注射液
1,酚麻美敏胶囊,乳酸环丙沙星氯化钠注射液
1,氨酚羟考酮片,卡马西平片
1,氨酚曲马多片,卡马西平片
1,氨酚双氢可待因片,卡马西平片
1,对乙酰氨基酚缓释片,卡马西平片
1,酚麻美敏胶囊,卡马西平片
1,氨酚羟考酮片,注射用兰索拉唑
1,氨酚曲马多片,注射用兰索拉唑
1,氨酚双氢可待因片,注射用兰索拉唑
1,对乙酰氨基酚缓释片,注射用兰索拉唑
1,酚麻美敏胶囊,注射用兰索拉唑
0,氨酚羟考酮片,异烟肼片
0,氨酚曲马多片,异烟肼片
0,氨酚双氢可待因片,异烟肼片
0,对乙酰氨基酚缓释片,异烟肼片
0,酚麻美敏胶囊,异烟肼片
0,氨酚羟考酮片,阿司匹林肠溶片
0,氨酚曲马多片,阿司匹林肠溶片
0,氨酚双氢可待因片,阿司匹林肠溶片
0,对乙酰氨基酚缓释片,阿司匹林肠溶片
0,酚麻美敏胶囊,阿司匹林肠溶片
1,多潘立酮片,氨酚羟考酮片
1,多潘立酮片,氨酚曲马多片
1,多潘立酮片,氨酚双氢可待因片
1,多潘立酮片,对乙酰氨基酚缓释片
1,多潘立酮片,酚麻美敏胶囊
1,多潘立酮片,多巴丝肼片
0,多潘立酮片,地高辛片
0,多潘立酮片,盐酸甲氧氯普胺注射液
1,多潘立酮片,氨茶碱片
1,多潘立酮片,氨茶碱注射液
1,多潘立酮片,复方甲氧那明胶囊
1,多潘立酮片,维生素B0片
1,多潘立酮片,维生素B0注射液
1,多潘立酮片,红霉素软膏
1,多潘立酮片,红霉素眼膏
1,多潘立酮片,甘露醇注射液
1,多潘立酮片,甲钴胺注射液
1,多潘立酮片,甲磺酸多拉司琼注射液
1,多潘立酮片,盐酸帕洛诺司琼注射液
1,多潘立酮片,乙酰半胱氨酸颗粒
1,多潘立酮片,重组人粒细胞刺激因子注射液
1,多潘立酮片,注射用奥沙利铂
1,多潘立酮片,注射用兰索拉唑
1,多潘立酮片,注射用氯诺昔康
1,多潘立酮片,注射用帕米膦酸二钠
1,多潘立酮片,注射用泮托拉唑钠
1,多潘立酮片,注射用培美曲塞二钠
1,多潘立酮片,注射用生长抑素
1,多潘立酮片,注射用特利加压素
1,多潘立酮片,注射用腺苷钴胺
1,多潘立酮片,注射用亚叶酸钙
1,多潘立酮片,注射用异环磷酰胺
1,多潘立酮片,注射用长春西汀
1,多潘立酮片,注射用左卡尼汀
1,多潘立酮片,注射用唑来膦酸
1,多潘立酮片,唑来膦酸注射液
1,厄贝沙坦片,辛伐他汀片
0,盐酸二甲双胍片,盐酸甲氧氯普胺注射液
1,盐酸二甲双胍片,西咪替丁注射液
1,非洛地平缓释片,铝镁混悬液
1,非洛地平缓释片,地高辛片
1,非洛地平缓释片,地西泮片
1,非洛地平缓释片,地西泮注射液
1,非洛地平缓释片,红霉素软膏
1,非洛地平缓释片,红霉素眼膏
1,非洛地平缓释片,环孢素软胶囊
1,非洛地平缓释片,西咪替丁注射液
1,非洛地平缓释片,卡马西平片
1,非洛地平缓释片,苯巴比妥片
1,非诺贝特胶囊,依折麦布片
1,芬太尼透皮贴剂,铝镁混悬液
1,芬太尼透皮贴剂,氢化可的松注射液
1,芬太尼透皮贴剂,紫杉醇注射液
1,芬太尼透皮贴剂,地西泮片
1,芬太尼透皮贴剂,地西泮注射液
1,呋塞米片,布洛芬颗粒
1,呋塞米注射液,布洛芬颗粒
1,呋塞米片,托伐普坦片
1,呋塞米注射液,托伐普坦片
0,呋塞米片,盐酸肾上腺素注射液
0,呋塞米注射液,盐酸肾上腺素注射液
0,呋塞米片,奥美拉唑碳酸氢钠胶囊
0,呋塞米片,复方聚乙二醇电解质散
0,呋塞米片,间苯三酚注射液
0,呋塞米片,碳酸氢钠片
0,呋塞米片,碳酸氢钠注射液
0,呋塞米片,维生素C注射液
0,呋塞米片,胃铋镁颗粒
0,呋塞米注射液,奥美拉唑碳酸氢钠胶囊
0,呋塞米注射液,复方聚乙二醇电解质散
0,呋塞米注射液,间苯三酚注射液
0,呋塞米注射液,碳酸氢钠片
0,呋塞米注射液,碳酸氢钠注射液
0,呋塞米注射液,维生素C注射液
0,呋塞米注射液,胃铋镁颗粒
1,呋塞米片,铝镁混悬液
1,呋塞米片,氢化可的松注射液
1,呋塞米片,紫杉醇注射液
1,呋塞米注射液,铝镁混悬液
1,呋塞米注射液,氢化可的松注射液
1,呋塞米注射液,紫杉醇注射液
0,呋塞米片,阿司匹林肠溶片
0,呋塞米注射液,阿司匹林肠溶片
1,伏立康唑片,芬太尼透皮贴剂
1,注射用伏立康唑,芬太尼透皮贴剂
1,伏立康唑片,格列美脲片
1,注射用伏立康唑,格列美脲片
1,伏立康唑片,依维莫司片
1,注射用伏立康唑,依维莫司片
1,伏立康唑片,卡马西平片
1,注射用伏立康唑,卡马西平片
1,伏立康唑片,苯巴比妥片
1,注射用伏立康唑,苯巴比妥片
0,伏立康唑片,环孢素软胶囊
0,注射用伏立康唑,环孢素软胶囊
1,氟康唑胶囊,芬太尼透皮贴剂
1,氟康唑氯化钠注射液,芬太尼透皮贴剂
1,氟康唑胶囊,依维莫司片
1,氟康唑氯化钠注射液,依维莫司片
1,氟康唑胶囊,异烟肼片
1,氟康唑氯化钠注射液,异烟肼片
1,氟康唑胶囊,环孢素软胶囊
1,氟康唑氯化钠注射液,环孢素软胶囊
1,氟康唑胶囊,氢氯噻嗪片
1,氟康唑氯化钠注射液,氢氯噻嗪片
1,氟哌啶醇注射液,铝镁混悬液
1,氟哌啶醇注射液,氢化可的松注射液
1,氟哌啶醇注射液,紫杉醇注射液
0,氟哌啶醇注射液,盐酸肾上腺素注射液
1,氟哌啶醇注射液,卡马西平片
1,氟他胺片,辛伐他汀片
1,复方甘草酸苷片,西洛他唑片
1,复方甘草酸苷注射液,西洛他唑片
0,格列吡嗪控释片,奥美拉唑碳酸氢钠胶囊
0,格列吡嗪控释片,复方聚乙二醇电解质散
0,格列吡嗪控释片,间苯三酚注射液
0,格列吡嗪控释片,碳酸氢钠片
0,格列吡嗪控释片,碳酸氢钠注射液
0,格列吡嗪控释片,维生素C注射液
0,格列吡嗪控释片,胃铋镁颗粒
1,格列吡嗪控释片,西咪替丁注射液
0,格列吡嗪控释片,盐酸二甲双胍片
0,格列吡嗪控释片,阿卡波糖片
1,格列美脲片,氟康唑胶囊
1,格列美脲片,氟康唑氯化钠注射液
1,格列美脲片,注射用环磷酰胺
1,格列美脲片,铝镁混悬液
1,格列美脲片,氢化可的松注射液
1,格列美脲片,紫杉醇注射液
1,格列齐特缓释片,西咪替丁注射液
1,格列齐特缓释片,铝镁混悬液
1,格列齐特缓释片,氢化可的松注射液
1,格列齐特缓释片,紫杉醇注射液
0,格列齐特缓释片,阿卡波糖片
0,格列齐特缓释片,氟康唑胶囊
0,格列齐特缓释片,氟康唑氯化钠注射液
0,注射用更昔洛韦,盐酸多柔比星脂质体注射液
0,注射用更昔洛韦,复方磺胺甲噁唑片
0,注射用更昔洛韦,环孢素软胶囊
1,红霉素软膏,阿加曲班注射液
1,红霉素眼膏,阿加曲班注射液
1,红霉素软膏,注射用醋酸奥曲肽微球
1,红霉素眼膏,注射用醋酸奥曲肽微球
1,红霉素软膏,伏立康唑片
1,红霉素软膏,注射用伏立康唑
1,红霉素眼膏,伏立康唑片
1,红霉素眼膏,注射用伏立康唑
1,红霉素软膏,依维莫司片
1,红霉素眼膏,依维莫司片
0,红霉素软膏,卡马西平片
0,红霉素眼膏,卡马西平片
1,红霉素软膏,芬太尼透皮贴剂
1,红霉素眼膏,芬太尼透皮贴剂
0,红霉素软膏,地高辛片
0,红霉素眼膏,地高辛片
0,红霉素软膏,咪达唑仑注射液
0,红霉素眼膏,咪达唑仑注射液
0,红霉素软膏,环孢素软胶囊
0,红霉素眼膏,环孢素软胶囊
1,环孢素软胶囊,阿奇霉素片
1,环孢素软胶囊,注射用阿奇霉素
1,环孢素软胶囊,泊沙康唑口服混悬液
1,环孢素软胶囊,伏立康唑片
1,环孢素软胶囊,注射用伏立康唑
1,环孢素软胶囊,氟康唑胶囊
1,环孢素软胶囊,氟康唑氯化钠注射液
1,环孢素软胶囊,吗替麦考酚酯分散片
1,环孢素软胶囊,吗替麦考酚酯胶囊
1,环孢素软胶囊,盐酸莫西沙星片
1,环孢素软胶囊,依维莫司片
1,环孢素软胶囊,依折麦布片
1,环孢素软胶囊,异烟肼片
1,环孢素软胶囊,左氧氟沙星滴眼液
1,环孢素软胶囊,左氧氟沙星氯化钠注射液
1,环孢素软胶囊,左氧氟沙星片
0,环孢素软胶囊,阿昔洛韦片
0,环孢素软胶囊,阿昔洛韦乳膏
0,环孢素软胶囊,注射用阿昔洛韦
0,环孢素软胶囊,乳酸环丙沙星氯化钠注射液
1,环孢素软胶囊,卡马西平片
1,环孢素软胶囊,复方磺胺甲噁唑片
0,环孢素软胶囊,呋塞米片
0,环孢素软胶囊,呋塞米注射液
0,环孢素软胶囊,甘露醇注射液
0,环孢素软胶囊,甲钴胺注射液
0,环孢素软胶囊,甲磺酸多拉司琼注射液
0,环孢素软胶囊,盐酸帕洛诺司琼注射液
0,环孢素软胶囊,乙酰半胱氨酸颗粒
0,环孢素软胶囊,重组人粒细胞刺激因子注射液
0,环孢素软胶囊,注射用奥沙利铂
0,环孢素软胶囊,注射用兰索拉唑
0,环孢素软胶囊,注射用氯诺昔康
0,环孢素软胶囊,注射用帕米膦酸二钠
0,环孢素软胶囊,注射用泮托拉唑钠
0,环孢素软胶囊,注射用培美曲塞二钠
0,环孢素软胶囊,注射用生长抑素
0,环孢素软胶囊,注射用特利加压素
0,环孢素软胶囊,注射用腺苷钴胺
0,环孢素软胶囊,注射用亚叶酸钙
0,环孢素软胶囊,注射用异环磷酰胺
0,环孢素软胶囊,注射用长春西汀
0,环孢素软胶囊,注射用左卡尼汀
0,环孢素软胶囊,注射用唑来膦酸
0,环孢素软胶囊,唑来膦酸注射液
0,环孢素软胶囊,红霉素软膏
0,环孢素软胶囊,红霉素眼膏
0,乳酸环丙沙星氯化钠注射液,环孢素软胶囊
1,注射用环磷酰胺,阿瑞匹坦胶囊
1,注射用环磷酰胺,氟康唑胶囊
1,注射用环磷酰胺,氟康唑氯化钠注射液
1,注射用环磷酰胺,卡铂注射液
1,注射用环磷酰胺,卡培他滨片
1,注射用环磷酰胺,替吉奥胶囊
1,注射用环磷酰胺,秋水仙碱片
0,注射用环磷酰胺,盐酸多柔比星脂质体注射液
1,甲氨蝶呤注射液,多西他赛注射液
1,甲氨蝶呤注射液,塞来昔布胶囊
1,甲氨蝶呤注射液,依托考昔片
0,甲氨蝶呤注射液,铝镁混悬液
0,甲氨蝶呤注射液,氢化可的松注射液
0,甲氨蝶呤注射液,紫杉醇注射液
0,甲氨蝶呤注射液,氟尿嘧啶注射液
0,甲氨蝶呤注射液,阿司匹林肠溶片
1,甲硝唑氯化钠注射液,铝镁混悬液
1,甲硝唑氯化钠注射液,氢化可的松注射液
1,甲硝唑氯化钠注射液,紫杉醇注射液
1,盐酸甲氧氯普胺注射液,丙泊酚注射液
1,盐酸甲氧氯普胺注射液,地西泮片
1,盐酸甲氧氯普胺注射液,地西泮注射液
0,盐酸甲氧氯普胺注射液,盐酸甲氧氯普胺注射液
1,盐酸甲氧氯普胺注射液,氨酚羟考酮片
1,盐酸甲氧氯普胺注射液,氨酚曲马多片
1,盐酸甲氧氯普胺注射液,氨酚双氢可待因片
1,盐酸甲氧氯普胺注射液,对乙酰氨基酚缓释片
1,盐酸甲氧氯普胺注射液,酚麻美敏胶囊
1,盐酸甲氧氯普胺注射液,多巴丝肼片
1,盐酸甲氧氯普胺注射液,环孢素软胶囊
0,盐酸甲氧氯普胺注射液,西咪替丁注射液
1,盐酸甲氧氯普胺注射液,铝镁混悬液
1,盐酸甲氧氯普胺注射液,氢化可的松注射液
1,盐酸甲氧氯普胺注射液,紫杉醇注射液
1,盐酸甲氧氯普胺注射液,硫酸镁注射液
0,盐酸甲氧氯普胺注射液,甲硝唑氯化钠注射液
1,复方聚乙二醇电解质散,地高辛片
1,格列吡嗪控释片,地高辛片
1,卡铂注射液,环孢素软胶囊
1,卡马西平片,奥氮平片
1,卡马西平片,奥美拉唑肠溶胶囊
1,卡马西平片,奥美拉唑碳酸氢钠胶囊
1,卡马西平片,氟康唑胶囊
1,卡马西平片,氟康唑氯化钠注射液
1,卡马西平片,拉莫三嗪片
1,卡马西平片,环孢素软胶囊
0,卡马西平片,红霉素软膏
0,卡马西平片,红霉素眼膏
0,卡马西平片,氟哌啶醇注射液
1,卡马西平片,苯巴比妥片
1,卡马西平片,氨酚羟考酮片
1,卡马西平片,氨酚曲马多片
1,卡马西平片,氨酚双氢可待因片
1,卡马西平片,对乙酰氨基酚缓释片
1,卡马西平片,酚麻美敏胶囊
1,卡马西平片,伏立康唑片
1,卡马西平片,注射用伏立康唑
1,卡马西平片,托伐普坦片
1,拉莫三嗪片,奥氮平片
0,拉莫三嗪片,卡马西平片
0,拉莫三嗪片,氨酚羟考酮片
0,拉莫三嗪片,氨酚曲马多片
0,拉莫三嗪片,氨酚双氢可待因片
0,拉莫三嗪片,对乙酰氨基酚缓释片
0,拉莫三嗪片,酚麻美敏胶囊
1,拉莫三嗪片,丙戊酸钠缓释片
1,拉莫三嗪片,丙戊酸钠口服溶液
1,拉莫三嗪片,注射用丙戊酸钠
1,注射用兰索拉唑,氨酚羟考酮片
1,注射用兰索拉唑,氨酚曲马多片
1,注射用兰索拉唑,氨酚双氢可待因片
1,注射用兰索拉唑,对乙酰氨基酚缓释片
1,注射用兰索拉唑,酚麻美敏胶囊
1,注射用兰索拉唑,地西泮片
1,注射用兰索拉唑,地西泮注射液
1,葡萄糖酸钙注射液,铝镁混悬液
1,葡萄糖酸钙注射液,氢化可的松注射液
1,葡萄糖酸钙注射液,紫杉醇注射液
1,复方利多卡因乳膏,奥美拉唑肠溶胶囊
1,复方利多卡因乳膏,奥美拉唑碳酸氢钠胶囊
1,复方利多卡因乳膏,丙泊酚注射液
1,复方利多卡因乳膏,红霉素软膏
1,复方利多卡因乳膏,红霉素眼膏
1,复方利多卡因乳膏,乳酸环丙沙星氯化钠注射液
1,复方利多卡因乳膏,咪达唑仑注射液
1,复方利多卡因乳膏,苯巴比妥片
1,复方利多卡因乳膏,西咪替丁注射液
1,利格列汀片,盐酸吡格列酮片
1,利格列汀片,地高辛片
1,利格列汀片,盐酸二甲双胍片
1,利格列汀片,辛伐他汀片
1,利奈唑胺葡萄糖注射液,间苯三酚注射液
1,利奈唑胺葡萄糖注射液,维生素C片
1,利奈唑胺葡萄糖注射液,维生素C注射液
