drug1,drug2,degree
红霉素软膏,卡马西平片,6
红霉素眼膏,卡马西平片,6
红霉素软膏,芬太尼透皮贴剂,3
红霉素眼膏,芬太尼透皮贴剂,3
红霉素软膏,地高辛片,6
红霉素眼膏,地高辛片,6
红霉素软膏,咪达唑仑注射液,4
红霉素眼膏,咪达唑仑注射液,4
红霉素软膏,环孢素软胶囊,6
红霉素眼膏,环孢素软胶囊,6
环孢素软胶囊,阿奇霉素片,1
环孢素软胶囊,注射用阿奇霉素,1
环孢素软胶囊,泊沙康唑口服混悬液,3
环孢素软胶囊,伏立康唑片,3
环孢素软胶囊,注射用伏立康唑,3
环孢素软胶囊,氟康唑胶囊,3
环孢素软胶囊,氟康唑氯化钠注射液,3
环孢素软胶囊,吗替麦考酚酯分散片,3
环孢素软胶囊,吗替麦考酚酯胶囊,3
环孢素软胶囊,盐酸莫西沙星片,1
环孢素软胶囊,依维莫司片,1
环孢素软胶囊,依折麦布片,2
环孢素软胶囊,异烟肼片,3
环孢素软胶囊,左氧氟沙星滴眼液,1
环孢素软胶囊,左氧氟沙星氯化钠注射液,1
环孢素软胶囊,左氧氟沙星片,1
环孢素软胶囊,阿昔洛韦片,4
环孢素软胶囊,阿昔洛韦乳膏,4
环孢素软胶囊,注射用阿昔洛韦,4
环孢素软胶囊,乳酸环丙沙星氯化钠注射液,4
环孢素软胶囊,卡马西平片,3
环孢素软胶囊,复方磺胺甲??f唑片,3
环孢素软胶囊,呋塞米片,4
环孢素软胶囊,呋塞米注射液,4
环孢素软胶囊,甘露醇注射液,4
环孢素软胶囊,甲钴胺注射液,4
环孢素软胶囊,甲磺酸多拉司琼注射液,4
环孢素软胶囊,盐酸帕洛诺司琼注射液,4
环孢素软胶囊,乙酰半胱氨酸颗粒,4
环孢素软胶囊,重组人粒细胞刺激因子注射液,4
环孢素软胶囊,注射用奥沙利铂,4
环孢素软胶囊,注射用兰索拉唑,4
环孢素软胶囊,注射用氯诺昔康,4
环孢素软胶囊,注射用帕米膦酸二钠,4
环孢素软胶囊,注射用泮托拉唑钠,4
环孢素软胶囊,注射用培美曲塞二钠,4
环孢素软胶囊,注射用生长抑素,4
环孢素软胶囊,注射用特利加压素,4
环孢素软胶囊,注射用腺苷钴胺,4
环孢素软胶囊,注射用亚叶酸钙,4
环孢素软胶囊,注射用异环磷酰胺,4
环孢素软胶囊,注射用长春西汀,4
环孢素软胶囊,注射用左卡尼汀,4
环孢素软胶囊,注射用唑来膦酸,4
环孢素软胶囊,唑来膦酸注射液,4
环孢素软胶囊,红霉素软膏,7
环孢素软胶囊,红霉素眼膏,7
乳酸环丙沙星氯化钠注射液,环孢素软胶囊,7
注射用环磷酰胺,阿瑞匹坦胶囊,1
注射用环磷酰胺,氟康唑胶囊,2
注射用环磷酰胺,氟康唑氯化钠注射液,2
注射用环磷酰胺,卡铂注射液,2
注射用环磷酰胺,卡培他滨片,0
注射用环磷酰胺,替吉奥胶囊,3
注射用环磷酰胺,秋水仙碱片,3
注射用环磷酰胺,盐酸多柔比星脂质体注射液,6
甲氨蝶呤注射液,多西他赛注射液,2
甲氨蝶呤注射液,塞来昔布胶囊,1
甲氨蝶呤注射液,依托考昔片,1
甲氨蝶呤注射液,铝镁混悬液,6
甲氨蝶呤注射液,氢化可的松注射液,6
甲氨蝶呤注射液,紫杉醇注射液,6
甲氨蝶呤注射液,氟尿嘧啶注射液,4
甲氨蝶呤注射液,阿司匹林肠溶片,7
甲硝唑氯化钠注射液,铝镁混悬液,2
甲硝唑氯化钠注射液,氢化可的松注射液,2
甲硝唑氯化钠注射液,紫杉醇注射液,2
盐酸甲氧氯普胺注射液,丙泊酚注射液,2
盐酸甲氧氯普胺注射液,地西泮片,0
盐酸甲氧氯普胺注射液,地西泮注射液,0
盐酸甲氧氯普胺注射液,盐酸甲氧氯普胺注射液,4
盐酸甲氧氯普胺注射液,氨酚羟考酮片,0
盐酸甲氧氯普胺注射液,氨酚曲马多片,0
盐酸甲氧氯普胺注射液,氨酚双氢可待因片,0
盐酸甲氧氯普胺注射液,对乙酰氨基酚缓释片,0
盐酸甲氧氯普胺注射液,酚麻美敏胶囊,0
盐酸甲氧氯普胺注射液,多巴丝肼片,0
盐酸甲氧氯普胺注射液,环孢素软胶囊,0
盐酸甲氧氯普胺注射液,西咪替丁注射液,4
盐酸甲氧氯普胺注射液,铝镁混悬液,0
盐酸甲氧氯普胺注射液,氢化可的松注射液,0
盐酸甲氧氯普胺注射液,紫杉醇注射液,0
盐酸甲氧氯普胺注射液,硫酸镁注射液,0
盐酸甲氧氯普胺注射液,甲硝唑氯化钠注射液,4
复方聚乙二醇电解质散,地高辛片,3
格列吡嗪控释片,地高辛片,3
卡铂注射液,环孢素软胶囊,0
卡马西平片,奥氮平片,2
卡马西平片,奥美拉唑肠溶胶囊,3
卡马西平片,奥美拉唑碳酸氢钠胶囊,3
卡马西平片,氟康唑胶囊,3
卡马西平片,氟康唑氯化钠注射液,3
卡马西平片,拉莫三嗪片,1
卡马西平片,环孢素软胶囊,3
卡马西平片,红霉素软膏,6
卡马西平片,红霉素眼膏,6
卡马西平片,氟哌啶醇注射液,6
卡马西平片,苯巴比妥片,3
卡马西平片,氨酚羟考酮片,3
卡马西平片,氨酚曲马多片,3
卡马西平片,氨酚双氢可待因片,3
卡马西平片,对乙酰氨基酚缓释片,3
卡马西平片,酚麻美敏胶囊,3
卡马西平片,伏立康唑片,3
卡马西平片,注射用伏立康唑,3
卡马西平片,托伐普坦片,3
拉莫三嗪片,奥氮平片,1
拉莫三嗪片,卡马西平片,4
拉莫三嗪片,氨酚羟考酮片,4
拉莫三嗪片,氨酚曲马多片,4
拉莫三嗪片,氨酚双氢可待因片,4
拉莫三嗪片,对乙酰氨基酚缓释片,4
拉莫三嗪片,酚麻美敏胶囊,4
拉莫三嗪片,丙戊酸钠缓释片,3
拉莫三嗪片,丙戊酸钠口服溶液,3
拉莫三嗪片,注射用丙戊酸钠,3
注射用兰索拉唑,氨酚羟考酮片,3
注射用兰索拉唑,氨酚曲马多片,3
注射用兰索拉唑,氨酚双氢可待因片,3
注射用兰索拉唑,对乙酰氨基酚缓释片,3
注射用兰索拉唑,酚麻美敏胶囊,3
注射用兰索拉唑,地西泮片,3
注射用兰索拉唑,地西泮注射液,3
葡萄糖酸钙注射液,铝镁混悬液,3
葡萄糖酸钙注射液,氢化可的松注射液,3
葡萄糖酸钙注射液,紫杉醇注射液,3
复方利多卡因乳膏,奥美拉唑肠溶胶囊,1
复方利多卡因乳膏,奥美拉唑碳酸氢钠胶囊,1
复方利多卡因乳膏,丙泊酚注射液,1
复方利多卡因乳膏,红霉素软膏,2
复方利多卡因乳膏,红霉素眼膏,2
复方利多卡因乳膏,乳酸环丙沙星氯化钠注射液,3
复方利多卡因乳膏,咪达唑仑注射液,2
复方利多卡因乳膏,苯巴比妥片,3
复方利多卡因乳膏,西咪替丁注射液,3
利格列汀片,盐酸吡格列酮片,1
利格列汀片,地高辛片,1
利格列汀片,盐酸二甲双胍片,1
利格列汀片,辛伐他汀片,1
利奈唑胺葡萄糖注射液,间苯三酚注射液,1
利奈唑胺葡萄糖注射液,维生素C片,1
利奈唑胺葡萄糖注射液,维生素C注射液,1
利奈唑胺葡萄糖注射液,盐酸异丙嗪注射液,1
