drug1,drug2,degree
阿司匹林,双香豆素,4
阿司匹林,肝素,4
阿司匹林,尿激酶,4
阿司匹林,胰岛素,0
阿司匹林,格列苯脲,0
阿司匹林,格列吡嗪,0
阿司匹林,格列齐特,0
阿司匹林,格列喹酮,0
阿司匹林,碳酸氢钠,6
阿司匹林,苯妥英钠,0
阿司匹林,华法林,7
阿替洛尔,阿利吉仑,1
阿替洛尔,橙汁,4
阿替洛尔,地尔硫䓬,1
阿替洛尔,利福平,1
阿替洛尔,舍曲林,1
阿替洛尔,他索沙坦,1
阿替洛尔,缬沙坦,1
阿替洛尔,伊曲康唑,1
阿替洛尔,维拉帕米,4
阿替洛尔,可乐定,4
阿托伐他汀,阿奇霉素,1
阿托伐他汀,阿司匹林,1
阿托伐他汀,氨氯地平,1
阿托伐他汀,地尔硫䓬,3
阿托伐他汀,地高辛,3
阿托伐他汀,夫西地酸,3
阿托伐他汀,吉非贝齐,3
阿托伐他汀,克拉霉素,3
阿托伐他汀,利福平,3
阿托伐他汀,氯吡格雷,4
阿托伐他汀,咪达唑仑,1
阿托伐他汀,那非那韦,3
阿托伐他汀,葡萄柚汁,3
阿托伐他汀,沙奎那韦,3
阿托伐他汀,他克莫司,1
阿托伐他汀,特非那定,1
阿托伐他汀,替拉那韦,2
阿托伐他汀,维拉帕米,3
阿托伐他汀,西地那非,2
阿托伐他汀,伊曲康唑,3
阿托伐他汀,依非韦伦,3
阿托伐他汀,环孢素,4
阿托伐他汀,烟酸,4
阿托伐他汀,西咪替丁,3
阿托伐他汀,雷尼替丁,3
阿托伐他汀,奥美拉唑,3
阿托伐他汀,考来替泊,3
醋酸钙,乙醇,3
阿托伐他汀,华法林,5
阿昔莫司,地高辛,1
阿昔莫司,考来烯胺,1
阿昔替尼,吉西他滨,1
阿扎胞苷,丙戊酸,0
阿扎那韦,拉替拉韦,3
阿折地平,奥美沙坦,0
埃索美拉唑,阿莫西林,3
埃索美拉唑,阿司匹林,1
埃索美拉唑,睾酮,3
埃索美拉唑,酮康唑,3
埃索美拉唑,依曲康唑,3
埃索美拉唑,铁,3
埃索美拉唑,西酞普兰,3
埃索美拉唑,丙米嗪,3
埃索美拉唑,氯米帕明,3
埃索美拉唑,苯妥英,3
埃索美拉唑,华法林,3
艾曲泊帕,洛匹那韦,1
艾塞那肽,ARB,4
艾塞那肽,赖诺普利,1
艾塞那肽,炔雌醇,3
艾塞那肽,胰岛素,2
艾司西酞普兰,利托那韦,1
艾司西酞普兰,曲马多,1
艾司西酞普兰,阿司匹林,4
艾司西酞普兰,托洛沙酮,7
艾司西酞普兰,异卡波肼,7
艾司西酞普兰,帕吉林,7
艾司西酞普兰,乙醇,4
艾司西酞普兰,锂盐,4
艾司西酞普兰,卡马西平,3
艾司西酞普兰,西肽普兰,7
艾司唑仑,西咪替丁,4
艾司唑仑,扑米酮,3
艾司唑仑,左旋多巴,3
艾司唑仑,利福平,3
艾司唑仑,异烟肼,3
艾司唑仑,地高辛,3
艾司唑仑,卡马西平,3
艾司唑仑,乙醇,3
艾司唑仑,可乐定,3
艾司唑仑,普萘洛尔,3
艾司唑仑,酮康唑,3
艾司唑仑,伊曲康唑,3
艾维雷韦,马拉韦罗,3
安贝生坦,他达拉非,1
安贝生坦,环孢素,3
氨茶碱,丙戊酸,1
氨茶碱,地西泮,2
氨茶碱,七氟烷,2
氨茶碱,地尔硫革,6
氨茶碱,维拉帕米,6
氨茶碱,罗红霉素,4
氨茶碱,克拉霉素,4
氨茶碱,环丙沙星,4
氨茶碱,氧氟沙星,4
氨茶碱,左氧氟沙星,4
氨茶碱,克林霉素,4
氨茶碱,林可霉素,4
氨茶碱,苯巴比妥,3
氨茶碱,苯妥英,3
氨茶碱,美西律,3
氨茶碱,西咪替丁,3
氨茶碱,卡马西平,3
氨茶碱,咖啡因,6
氨茶碱,麻黄碱,6
氨茶碱,普萘洛尔,5
氨茶碱,利福平,3
氨茶碱,苯妥英钠,3
氨茶碱,烟草,3
氨基葡萄糖,奥美拉唑,1
氨基葡萄糖,华法林,2
氨基葡萄糖,咖啡因,1
氨基葡萄糖,奎宁,1
氨基葡萄糖,氯沙坦,1
氨基葡萄糖,阿霉素,4
氨基葡萄糖,依托泊苷,4
氨基葡萄糖,替尼泊苷,4
氨氯地平,贝那普利,1
氨氯地平,地高辛,1
氨氯地平,硫酸镁,3
氨氯地平,葡萄柚汁,1
氨氯地平,替米沙坦,1
氨氯地平,缬沙坦,4
氨氯地平,辛伐他汀,3
氨氯地平,伊马替尼,6
氨氯地平,茚地那韦,3
氨氯地平,吲哚美辛,3
氨氯地平,磺吡酮,3
氨曲南,利奈唑胺,1
氨曲南,头孢西丁,4
氨溴索,阿莫西林,3
氨溴索,罗红霉素,1
胺碘酮,阿奇霉素,3
胺碘酮,奥利司他,1
胺碘酮,华法林,3
胺碘酮,环孢素,3
胺碘酮,环磷酰胺,6
胺碘酮,甲硝唑,2
胺碘酮,利福平,3
胺碘酮,氯硝西泮,2
胺碘酮,葡萄柚汁,3
胺碘酮,曲唑酮,2
胺碘酮,瑞舒伐他汀,2
胺碘酮,他克莫司,3
胺碘酮,托伐普坦,1
胺碘酮,西罗莫司,3
胺碘酮,希美加群,1
胺碘酮,地高辛,7
昂丹司琼,对乙酰氨基酚,1
昂丹司琼,卡索匹坦,1
昂丹司琼,曲马多,3
昂丹司琼,地塞米松,0
昂丹司琼,顺铂,1
昂丹司琼,氟尿嘧啶,1
昂丹司琼,卡铂,1
昂丹司琼,依托泊苷,1
昂丹司琼,环磷酸胺,1
昂丹司琼,多柔比星,1
昂丹司琼,头孢噻甲羧肟,1
奥氮平,氨茶碱,1
奥氮平,丙磺舒,3
奥氮平,法莫替丁,1
奥氮平,氟伏沙明,3
奥氮平,氟西汀,2
奥氮平,金刚烷胺,2
奥氮平,丝氨酸,1
奥氮平,卡马西平,0
奥氮平,烟草,3
奥氮平,乙醇,4
奥卡西平,丙戊酸,1
奥卡西平,拉莫三嗪,1
奥卡西平,皮质醇,3
奥卡西平,西酞普兰,3
奥卡西平,丙米嗪,3
奥卡西平,氯米帕明,3
奥卡西平,苯妥英,3
奥卡西平,苯妥英钠,3
奥卡西平,苯巴比妥,3
奥卡西平,左炔诺孕酮,4
奥卡西平,托洛沙酮,4
奥卡西平,异卡波肼,4
奥卡西平,帕吉林,4
奥卡西平,卡马西平,3
奥利司他,胡萝卜素,1
奥利司他,环孢素,3
奥利司他,乙醇,1
奥利司他,左卡尼汀,1
奥利司他,胺碘酮,3
奥利司他,维生素A,2
奥利司他,维生素D,2
奥利司他,维生素E,2
奥美拉唑,阿莫非尼,1
奥美拉唑,阿司匹林,3
奥美拉唑,阿扎那韦,2
奥美拉唑,奥昔布宁,1
奥美拉唑,苯丙香豆素,2
奥美拉唑,达芦那韦,1
奥美拉唑,多潘立酮,2
奥美拉唑,伏立康唑,1
奥美拉唑,环丙沙星,1
奥美拉唑,吉米沙星,1
奥美拉唑,甲氨蝶呤,3
奥美拉唑,克拉霉素,3
奥美拉唑,氯氮平,3
奥美拉唑,罗红霉素,1
奥美拉唑,洛匹那韦,1
奥美拉唑,美沙酮,1
奥美拉唑,莫沙必利,2
奥美拉唑,奈非那韦,2
奥美拉唑,帕立骨化醇,1
奥美拉唑,沙奎那韦,2
奥美拉唑,水杨酸盐,0
奥美拉唑,他克莫司,2
奥美拉唑,替加色罗,1
奥美拉唑,头孢氨苄,1
奥美拉唑,托特罗定,1
奥美拉唑,西洛他唑,2
奥美拉唑,伊伐雷定,1
奥美拉唑,伊立替康,1
奥美拉唑,依曲韦林,1
奥美拉唑,茵栀黄,3
奥美拉唑,银杏,3
奥美拉唑,茚地那韦,1
奥美拉唑,伊曲康唑,5
奥美拉唑,咪康唑,5
奥美拉唑,氟康唑,5
奥美拉唑,地西泮,5
奥美拉唑,苯妥英,5
奥美拉唑,华法林,5
奥美拉唑,硝苯地平,5
奥美拉唑,地高辛,5
奥美拉唑,西沙必利,5
奥美拉唑,奎尼丁,5
奥美拉唑,环孢素,5
奥美拉唑,咖啡因,5
奥美拉唑,茶碱,5
奥美拉唑,胰酶,0
奥美拉唑,泼尼松,3
奥美拉唑,四环素,3
奥美拉唑,氨苄西林,3
奥美拉唑,酮康唑,3
奥美拉唑,缓释,4
奥美拉唑,维生素C,4
奥美拉唑,维生素E,4
奥美拉唑,三唑仑,4
奥美拉唑,劳拉西泮,4
奥美拉唑,氟西泮,4
奥美沙坦,阿替洛尔,1
奥美沙坦,氨氯地平,1
奥曲肽,多西他赛,3
奥曲肽,口服葡萄糖,2
奥曲肽,酮康唑,2
奥曲肽,环孢素,3
奥曲肽,西咪替丁,4
奥曲肽,溴隐亭,0
奥沙西泮,长春西汀,1
奥沙西泮,噻奈普汀,1
奥沙西泮,酒,3
奥沙西泮,可乐定,3
奥沙西泮,奋乃静,3
奥沙西泮,氟奋乃静,3
奥沙西泮,三氟拉嗪,3
奥沙西泮,硫利达嗪,3
奥沙西泮,丙氯拉嗪,3
奥沙西泮,三氟丙嗪,3
奥沙西泮,乙酰丙嗪,3
奥沙西泮,美索达嗪,3
奥沙西泮,氯贝胺,3
奥沙西泮,托洛沙酮,3
奥沙西泮,氯米帕明,3
奥沙西泮,曲米帕明,3
奥沙西泮,阿米替林,3
奥沙西泮,阿莫沙平,3
奥沙西泮,多塞平,3
奥沙西泮,西咪替丁,4
奥沙西泮,普萘洛尔,4
奥沙西泮,扑米酮,3
奥沙西泮,左旋多巴,3
奥沙西泮,利福平,3
奥沙西泮,异烟肼,3
奥沙西泮,地高辛,3
奥沙西泮,呋塞米,0
奥沙西泮,依他尼酸,0
奥沙西泮,布美他尼,0
奥沙西泮,阿佐塞米,0
奥沙西泮,托拉塞米,0
奥沙西泮,汞撒利,0
奥沙西泮,氢氯噻嗪,0
奥沙西泮,苄氟噻嗪,0
奥沙西泮,甲氯噻嗪,0
奥沙西泮,泊利噻嗪,0
奥沙西泮,贝美噻嗪,0
奥沙西泮,环戊噻嗪,0
奥沙西泮,氯噻酮,0
奥沙西泮,美托拉宗,0
奥沙西泮,螺内酯,0
奥沙西泮,依普利酮,0
奥沙西泮,氨苯蝶啶,0
奥沙西泮,阿米洛利,0
奥司他韦,牛奶,3
奥司他韦,扎那米韦,1
奥硝唑,乙醇,2
巴氯芬,吗啡 ,1
巴氯芬,氯米帕明,4
巴氯芬,曲米帕明,4
巴氯芬,阿米替林,4
巴氯芬,阿莫沙平,4
巴氯芬,多塞平,4
巴氯芬,乙醇,0
巴氯芬,卡比多巴,4
巴氯芬,左旋多巴,4
白消安,甲硝唑,3
白芷提取物,地西泮 ,2
白芷提取物,甲苯磺丁脲,3
班布特罗,琥珀胆碱,3
贝美前列素,多佐胺,1
贝那普利,阿司匹林,2
贝那普利,呋塞米 ,1
苯巴比妥,阿苯达唑,3
苯巴比妥,奥卡西平,3
苯巴比妥,丙戊酸,3
苯巴比妥,地塞米松,1
苯巴比妥,非尔氨酯,3
苯巴比妥,拉莫三嗪,2
苯巴比妥,瑞马西胺,3
苯巴比妥,瑞替加滨,1
苯巴比妥,托吡酯,3
苯巴比妥,伊立替康,4
苯巴比妥,对乙酰氨基酚,6
苯巴比妥,氟哌啶醇,4
苯巴比妥,肝素,7
苯巴比妥,华法林,7
苯巴比妥,土霉素,3
苯巴比妥,苯妥英钠,3
苯巴比妥,环孢素,3
苯巴比妥,奎尼丁,3
苯巴比妥,布洛芬,4
苯巴比妥,乙琥胺,3
苯巴比妥,卡马西平,3
苯巴比妥,环磷酰胺,0
苯巴比妥,雷诺嗪,7
苯巴比妥,伏立康唑,7
苯巴比妥,他克莫司,3
苯巴比妥,西罗莫司,3
苯巴比妥,厄洛替尼,3
苯巴比妥,伊马替尼,3
苯巴比妥,舒尼替尼,3
苯巴比妥,拉帕替尼,3
苯巴比妥,尼洛替尼,3
苯巴比妥,索拉非尼,3
苯巴比妥,喹硫平,3
苯巴比妥,伊沙匹隆,3
苯巴比妥,依曲韦林,3
苯巴比妥,洛匹那韦,3
苯巴比妥,奈非那韦,3
苯巴比妥,马拉韦罗,3
苯巴比妥,依立替康,3
苯巴比妥,乙醇,3
苯巴比妥,灰黄霉素,3
苯妥英,阿苯达唑,3
苯妥英,奥卡西平,3
苯妥英,奥利司他,1
苯妥英,泊沙康唑,4
苯妥英,长春瑞滨,6
苯妥英,伏立康唑,3
苯妥英,氟康唑,6
苯妥英,喹硫平,4
苯妥英,氯沙坦,2
苯妥英,罗库溴铵,3
苯妥英,洛匹那韦,3
苯妥英,米氮平,3
苯妥英,帕罗西汀,1
苯妥英,齐留通,1
苯妥英,噻加宾,1
苯妥英,噻氯匹定,6
苯妥英,他莫昔芬,3
苯妥英,西咪替丁,3
苯妥英,叶酸,1
苯妥英,伊曲康唑,3
苯妥英,左乙拉西坦,1
苯妥英,唑尼沙胺,3
苯溴马隆,吡嗪酰胺,1
苯溴马隆,华法林,2
苯溴马隆,水杨酸盐,4
苯乙肼,奶酪,3
苯乙肼,丙咪嗪,6
苯乙肼,氯米帕明,5
苯乙肼,曲米帕明,5
苯乙肼,阿米替林,5
苯乙肼,阿莫沙平,5
苯乙肼,多塞平,5
苯乙肼,左旋多巴,7
比拉斯汀,酮康唑,3
比索洛尔,咪达普利,1
比索洛尔,利血平,4
比索洛尔,胍乙啶,4
比索洛尔,硝苯地平,0
比索洛尔,可乐定,3
比索洛尔,维拉帕米,3
比索洛尔,地尔硫䓬,3
吡格列酮,吉非贝齐,3
吡格列酮,甲氧苄啶,3
吡格列酮,利福平,3
吡格列酮,辛伐他汀,2
吡格列酮,伊曲康唑,1
吡格列酮,扎鲁司特,1
吡格列酮,地高辛,1
吡格列酮,华法林,1
吡格列酮,格列吡嗪,1
吡格列酮,二甲双胍,1
吡罗昔康,奥美拉唑,1
吡罗昔康,磺达肝素钠,1
吡罗昔康,甲氨蝶呤,1
吡罗昔康,雷尼替丁,1
吡罗昔康,尼扎替丁,1
吡罗昔康,西咪替丁,2
吡罗昔康,双香豆素,3
吡罗昔康,乙醇,4
吡罗昔康,阿司匹林,3
吡罗昔康,左氧氟沙星,4
吡罗昔康,氧氟沙星,4
别嘌醇,阿利吉仑,1
别嘌醇,丙磺舒,2
别嘌醇,氨苄西林,4
别嘌醇,环磷酰胺,3
别嘌醇,茶碱,3
别嘌醇,硫唑嘌呤,4
别嘌醇,6-巯嘌呤,4
别嘌醇,氯化钙,4
别嘌醇,维生素C,4
别嘌醇,磷酸钾,4
别嘌醇,双香豆素,7
别嘌醇,巯嘌呤,7
丙泊酚,罗库溴铵,2
丙泊酚,地西泮,4
丙泊酚,咪达唑仑,4
丙磺舒,阿昔洛韦,3
丙磺舒,奥司他韦,3
丙磺舒,伐昔洛韦,3
丙磺舒,非索非那定,3
丙磺舒,环丙沙星,2
丙磺舒,甲氨蝶呤,6
丙磺舒,齐多夫定,2
丙磺舒,双氯西林,3
丙磺舒,头孢美唑,3
丙磺舒,头孢西丁,3
丙磺舒,头孢唑林,3
丙磺舒,头孢唑肟,0
丙磺舒,西咪替丁,3
丙磺舒,扎西他滨,3
丙磺舒,利福平,2
丙磺舒,别嘌醇,5
丙磺舒,青霉素,4
丙磺舒,头孢菌素,4
丙磺舒,吲哚美辛,6
丙磺舒,氨苯砜,6
丙磺舒,萘普生,6
丙磺舒,阿司匹林,5
丙磺舒,氢氯噻嗪,5
丙磺舒,乙醇,5
丙磺舒,依他尼酸,5
丙氯拉嗪,多柔比星,4
丙米嗪,地尔硫䓬,1
丙米嗪,卡马西平,0
丙米嗪,喹硫平,1
丙米嗪,拉贝洛尔,3
丙米嗪,氯喹,1
丙米嗪,美替拉酮,1
丙米嗪,舒立克隆,1
丙米嗪,酮康唑,1
丙米嗪,维拉帕米,1
丙米嗪,文拉法辛,3
丙米嗪,锌,0
丙米嗪,华法林,4
丙米嗪,双香豆素,4
丙米嗪,茴茚二酮,4
丙米嗪,甲状腺素,6
丙米嗪,烟草,3
丙酸倍氯米松,赖氨匹林,2
丙酸倍氯米松,泼尼松龙,2
丙酸倍氯米松,胰岛素,3
丙戊酸,阿塞那平,3
丙戊酸,多立培南,3
丙戊酸,厄他培南,3
丙戊酸,华法林,3
丙戊酸,咖啡因,1
丙戊酸,壳聚糖,3
丙戊酸,拉莫三嗪,3
丙戊酸,罗库溴铵,3
丙戊酸,美罗培南,3
丙戊酸,帕罗西汀,1
丙戊酸,帕尼培南,3
丙戊酸,普萘洛尔,1
丙戊酸,噻加宾,1
丙戊酸,芍药根,1
丙戊酸,托吡酯,4
丙戊酸,亚胺培南,3
丙戊酸,左乙拉西坦,1
丙戊酸,苯巴比妥,3
丙戊酸,去氧苯比妥,3
丙戊酸,苯妥英,3
丙戊酸,酰胺咪嗪,3
波生坦,奈韦拉平,1
波生坦,华法林,3
波生坦,辛伐他汀,3
波生坦,格列本脲,4
泊沙康唑,阿扎那韦,3
泊沙康唑,长春新碱,6
泊沙康唑,呋山那韦,2
泊沙康唑,卡泊芬净,1
泊沙康唑,劳拉西泮,3
泊沙康唑,米卡芬净,1
泊沙康唑,替马西泮,1
泊沙康唑,托吡酯,2
布比卡因,右美托咪定,2
布地奈德,甲硝唑,1
布地奈德,克拉霉素,3
布地奈德,罗氟司特,1
布地奈德,葡萄柚汁,3
布地奈德,伊曲康唑,3
布地奈德,酮康唑,5
布洛芬,伏立康唑,3
布洛芬,氟康唑,3
布洛芬,甲氨蝶呤,1
布洛芬,培美曲塞,2
布洛芬,氢氧化铝,4
布洛芬,氢氧化镁,1
布洛芬,庆大霉素,2
布洛芬,替米沙坦,1
布洛芬,扎来普隆,1
布洛芬,对乙酰氨基酚,4
布洛芬,镇痛,4
布洛芬,肝素,4
布洛芬,呋塞米,3
布洛芬,维拉帕米,3
布洛芬,硝苯地平,3
布洛芬,丙磺舒,3
布洛芬,地高辛,3
布美他尼,华法林,1
布美他尼,肾上腺素,4
布美他尼,氯贝丁酯,4
布美他尼,多巴胺,3
布美他尼,两性霉素B,6
布美他尼,头孢氨苄,6
布美他尼,碳酸氢钠,3
布美他尼,乙醇,0
布美他尼,水合氯醛,4
布美他尼,三氧化二砷,4
布美他尼,氟哌利多,4
布美他尼,多非利特,4
布美他尼,苄普地尔,4
布美他尼,左醋美沙多,4
布美他尼,索他洛尔,4
布美他尼,酮色林,4
布美他尼,阿司匹林,4
布美他尼,卡托普利,5
茶碱,阿洛司琼,1
茶碱,阿奇霉素,2
茶碱,阿昔洛韦,3
茶碱,安妥沙星,4
茶碱,奥美拉唑,1
茶碱,地红霉素,1
茶碱,多奈哌齐,1
茶碱,福莫特罗,2
茶碱,黄豆苷元,3
茶碱,灰黄霉素,3
茶碱,吉米沙星,1
茶碱,甲苯咪唑,1
茶碱,兰索拉唑,1
茶碱,芦氟沙星,1
茶碱,氯吡格雷,1
茶碱,罗氟司特,1
茶碱,罗匹尼罗,1
茶碱,孟鲁司特,1
茶碱,莫西沙星,1
茶碱,泮托拉唑,1
茶碱,葡萄柚汁,1
茶碱,沙丁胺醇,3
茶碱,特比萘芬,1
茶碱,特布他林,3
茶碱,替加色罗,1
茶碱,酮替芬,1
茶碱,托波力农,1
茶碱,西洛司特,1
茶碱,异烟肼,2
茶碱,茚地那韦,3
茶碱,扎鲁司特,3
茶碱,左氧氟沙星,3
茶碱,麻黄碱,6
茶碱,地尔硫䓬,6
茶碱,维拉帕米,6
茶碱,雷尼替丁,6
茶碱,苯巴比妥,3
茶碱,苯妥英,3
茶碱,克林霉素,6
茶碱,林可霉素,6
茶碱,罗红霉素,6
茶碱,克拉霉素,6
茶碱,环丙沙星,6
茶碱,美西律,3
茶碱,锂盐,3
茶碱,咖啡因,6
茶碱,烟草,3
茶碱,维生素C,4
茶碱,去甲肾上腺素,4
茶碱,四环素族盐酸盐,4
茶碱,氟烷,7
茶碱,西咪替丁,7
刺五加提取物,阿普唑仑,1
促红细胞生成素,维生素C,2
醋硝香豆素,西他生坦,2
达肝素钠,酮咯酸,2
达肝素钠,乙酰水杨酸,0
达肝素钠,葡萄糖,0
达格列净,吡格列酮,1
达格列净,二甲双胍,1
达格列净,格列美脲,1
达格列净,西格列汀,1
达芦那韦/利托那韦,拉替拉韦,1
达芦那韦/利托那韦,瑞舒伐他汀,2
达那唑,胰岛素,4
达那唑,华法林,4
达塞曲匹,阿托伐他汀,1
达塞曲匹,普伐他汀,1
达塞曲匹,炔雌醇,1
达塞曲匹,瑞舒伐他汀,1
达塞曲匹,辛伐他汀,1
达沙替尼,法莫替丁,3
达沙替尼,氢氧化镁,3
大麻素,吗啡,1
大麻素,羟考酮,1
大蒜提取物,阿普唑仑,1
大蒜提取物,利托那韦,6
大蒜提取物,咪达唑仑,1
大蒜提取物,沙奎那韦,3
大蒜提取物,右美沙芬,1
单硝酸异山梨酯,阿利吉仑,1
单硝酸异山梨酯,卡托普利,3
单硝酸异山梨酯,乙酰半胱氨酸,3
单硝酸异山梨酯,双氢麦角胺,1
单硝酸异山梨酯,乙醇,4
单硝酸异山梨酯,西地那非,4
氮䓬斯汀,氟替卡松,1
当归提取物,华法林,3
地尔硫䓬,非索非那定,1
地尔硫䓬,芬太尼,3
地尔硫䓬,华法林,1
地尔硫䓬,环孢素,3
地尔硫䓬,甲苯磺丁脲,1
地尔硫䓬,甲泼尼龙,3
地尔硫䓬,卡马西平,3
地尔硫䓬,考来替泊,3
地尔硫䓬,雷诺嗪,1
地尔硫䓬,洛伐他汀,3
地尔硫䓬,葡萄柚汁,3
地尔硫䓬,普伐他汀,1
地尔硫䓬,去甲替林,3
地尔硫䓬,他克莫司,3
地尔硫䓬,西罗莫司,3
地尔硫䓬,辛伐他汀,3
地尔硫䓬,胺碘酮,3
地尔硫䓬,地高辛,3
地尔硫䓬,甲氟喹,3
地高辛,阿加曲班,1
地高辛,阿卡波糖,7
地高辛,阿齐利特,1
地高辛,阿瑞匹坦,1
地尔硫䓬,西咪替丁,3
地高辛,艾塞那肽,1
地尔硫䓬,雷尼替丁,3
地高辛,艾司利卡西平,1
地高辛,胶碘酮,4
地高辛,波生坦,1
地高辛,刺五加,1
地高辛,地尔硫䓬,1
地高辛,多奈哌齐,1
地高辛,伐昔洛韦,1
地高辛,伏立康唑,1
地高辛,红霉素,1
地高辛,磺达肝素钠,1
地高辛,吉米沙星,1
地高辛,卡维地洛,3
地高辛,克拉霉素,3
地高辛,克列莫佛,2
地高辛,拉索昔芬,1
地高辛,氯吡格雷,1
地高辛,罗非昔布,1
地高辛,罗格列酮,1
地高辛,罗红霉素,3
地高辛,罗匹尼罗,1
地高辛,孟鲁司特,1
地高辛,咪达那新,1
