id,d
119,非诺贝特
120,非诺洛芬
121,非索罗定
122,芬布芬
123,芬太尼
124,粉防己碱
125,奋乃静
126,呋塞米
127,伏立康唑
128,氟比洛芬
129,氟伐他汀
130,氟伏沙明
131,氟康唑
132,氟哌啶醇
133,氟他胺
134,氟替卡松
135,氟西汀
136,福莫特罗
137,辅酶Q10
138,钆塞酸
139,甘草
140,甘草酸苷
141,肝素
142,戈舍瑞林
143,咯萘啶/青蒿琥酯
144,格列本脲
145,格列吡嗪
146,格列美脲
147,格列齐特
148,更昔洛韦
149,枸橼酸铋
150,枸橼酸钙
151,桂枝茯苓丸
152,红霉素
153,槲皮素
154,华法林
155,环孢素
156,环丙沙星
157,环磷酰胺
158,黄芩提取物
159,黄体酮
160,吉非贝齐
161,吉非替尼
162,吉西他滨
163,加巴喷丁
164,加替沙星
165,甲氨蝶呤
166,甲苯磺丁脲
167,甲泼尼龙
168,甲巯咪唑
169,甲硝唑
170,甲氧氯普胺
171,金刚烷胺
172,金诺芬
173,聚乙二醇
174,咖啡因
175,卡巴拉汀
176,卡比马唑
177,卡泊芬净
178,卡泊三醇
179,卡铂
180,卡介苗
181,卡马西平
182,卡培他滨
183,卡培他滨/顺铂
184,卡托普利
185,卡维地洛
186,坎地沙坦
187,考来烯胺
188,可待因
189,可乐定
190,克拉霉素
191,克仑特罗
192,奎尼丁
193,喹硫平
194,拉贝洛尔
195,磷酸氢钙
196,拉莫三嗪
197,拉替拉韦
198,拉西地平
199,来氟米特
200,来曲唑
201,来司韦林
202,赖诺普利
203,兰索拉唑
204,劳拉西泮
205,雷贝拉唑
206,乳酸钙
207,雷公藤
208,雷洛昔芬
209,雷米普利
210,雷尼替丁
211,氨力农
212,雷诺嗪
213,雷沙吉兰
214,利奥西呱
215,利巴韦林
216,利多卡因
217,利福布汀
218,利福平
219,利格列汀
220,利拉鲁肽
221,利奈唑胺
222,利尿药
223,利培酮
224,利托那韦
225,利妥昔单抗
226,利扎曲普坦
227,联苯双酯
228,流感疫苗
229,硫酸镁
230,硫酸亚铁
231,硫糖铝
232,硫唑嘌呤
233,柳氮磺吡啶
234,六昧地黄丸
235,卢索替尼
236,罗氟司特
237,罗咯茶碱
238,罗格列酮
239,罗哌卡因
240,罗替高汀
241,螺内酯
242,洛伐他汀
243,洛哌丁胺
244,洛匹那韦/利托那韦
245,氯胺酮
246,氯巴占
247,氯贝丁酯
248,氯吡格雷
249,氯氮平
250,氯磺丙脲
251,氯霉素
252,氯噻酮
253,氯沙坦
254,马拉韦罗
255,马帕木单抗
256,马昔腾坦
257,吗啡
258,吗氯贝胺
259,吗替麦考酚酯
260,美法仑
261,美金刚
262,美洛昔康
263,美沙酮
264,美托洛尔
265,美西律
266,门冬胰岛素
267,孟鲁司特
268,咪达唑仑
269,米氮平
270,米罗那非
271,米索前列醇
272,米托坦
273,莫雷西嗪
274,莫西沙星
275,那格列奈
276,那可丁
277,纳曲酮
278,奈法唑酮
279,奈拉替尼
280,奈韦拉平
281,萘丁美酮
282,萘普生
283,尼卡地平
284,尼洛替尼
285,尼美舒利
286,尼莫地平
287,尼群地平
288,尼索地平
289,尼扎替丁
290,诺氟沙星
291,米力农
292,穿琥宁
293,欧车前亲水胶
294,帕利哌酮
295,帕罗西汀
296,帕妥匹隆
297,帕唑帕尼
298,哌甲酯
299,哌库溴铵
300,泮托拉唑
301,培哚普利
302,匹伐他汀
303,匹莫齐特
304,泼尼松
305,泼尼松龙
306,葡萄柚汁
307,普伐他汀
308,普拉格雷
309,普鲁卡因胺
310,普罗布考
311,普罗帕酮
312,普萘洛尔
313,齐多夫定
314,羟苯磺酸钙
315,羟丁酸钠
316,羟考酮
317,羟氯喹
318,青蒿琥酯
319,青霉胺
320,氢可酮
321,氢氯噻嗪
322,氢氧化铝
323,氢氧化铝/氢氧化镁
324,氢氧化镁
325,氢氧化镁/氢氧化铝
326,庆大霉素
327,秋水仙碱
328,曲普瑞林
329,曲唑酮
330,去氨加压素
331,炔雌醇/诺孕曲明
332,人参
333,肉桂
334,瑞波西汀
335,瑞芬太尼
336,瑞格列奈
337,瑞加诺生
338,瑞舒伐他汀
339,塞来昔布
340,噻氯匹定
341,三氟拉嗪
342,三唑仑
343,沙丁胺醇
344,沙格列汀
345,沙利度胺
346,沙美特罗
347,舍曲林
348,圣约翰草提取物
349,舒林酸
350,舒马普坦
351,舒尼替尼
352,双丙戊酸
353,双氯芬酸
354,双嘧达莫
355,水飞蓟素
356,司来吉兰
357,索拉非尼
358,索利那新
359,索曲妥林
360,索他洛尔
361,他达拉非
362,他克莫司
363,他拉纳班
364,他利克索
365,他莫昔芬
366,他喷他多
367,坦索罗辛
368,碳酸钙
369,碳酸锂
370,特比萘芬
371,特布他林
372,特拉唑嗪
373,替格瑞洛
374,替卡法林
375,替拉凡星
376,替拉那韦/利托那韦
377,替拉瑞韦
378,替利霉素
379,替马西泮
380,替米沙坦
381,替扎尼定
382,酮康唑
383,酮洛芬
384,头孢氨苄
385,头孢呋辛
386,头孢曲松
387,托吡酯
388,托伐普坦
389,托拉塞米
390,托特罗定
391,托烷司琼
392,托珠单抗
393,妥拉唑林
394,维格列汀
395,维拉帕米
396,维生素D
397,维生素D3
398,文拉法辛
399,西地那非
400,西格列汀
401,西罗莫司
402,西洛他唑
403,西咪替丁
404,西沙必利
405,西酞普兰
406,西妥昔单抗
407,硝苯地平
408,硝酸甘油
409,小檗碱
410,缬沙坦
411,辛伐他汀
412,熊去氧胆酸
413,溴吡斯的明
414,溴己新
415,溴哌利多
416,溴隐亭
417,亚胺培南
418,烟酸
419,药用炭
420,叶酸
421,伊立替康
422,伊马替尼
423,伊曲康唑
424,伊维菌素
425,依非韦伦
426,依那普利
427,依诺肝素
428,依诺沙星
429,炎琥宁
430,依曲韦林
431,依曲韦林/利托那韦
432,依曲韦林/沙奎那韦
433,依替唑仑
434,依托度酸
435,依托考昔
436,依维莫司
437,依折麦布
438,胰酶
439,乙醇
440,乙酰半胱氨酸
441,异丙托溴铵
442,异氟烷
443,异烟肼
444,银杏提取物
445,吲哚洛尔
446,吲哚美辛
447,右美沙芬
448,扎鲁司特
449,长春瑞滨
450,长春新碱
451,脂肪乳
452,紫杉醇
453,紫锥菊
454,左甲状腺素
455,左旋多巴
456,左氧氟沙星
457,左乙拉西坦
458,佐匹克隆
459,唑吡坦
460,阿巴卡韦
461,阿德福韦酯
462,阿伐斯汀
463,阿法骨化醇
464,阿拉伯胶
465,阿仑膦酸钠
466,阿罗洛尔
467,阿洛西林钠
468,阿米卡星
469,阿明洛芬
470,阿帕西林钠
471,阿司咪唑
472,阿糖腺苷
473,阿托品
474,阿维A
475,阿西美辛
476,阿昔洛韦
477,阿义马林
478,阿佐塞米
479,艾司洛尔
480,安非他酮
481,安替妥
482,氨苯蝶啶
483,氨苯砜
484,氨基己酸
485,氨己烯酸
486,氨甲苯酸
487,氨甲环酸
488,氟罗沙星
489,氨硫脲
490,氨溴索溴己新
491,奥沙拉秦
492,奥沙利铂
493,奥沙普秦
494,奥沙唑仑
495,奥替溴铵
496,奥昔布宁
497,奥扎格雷钠
498,巴柳氮钠
499,胞磷胆碱钠
500,薄荷脑
501,薄芝糖肽
502,保泰松
503,贝尼地平
504,贝诺酯
505,倍他胡萝卜素
506,倍他米松
507,苯丙氨酯
508,苯丙胺
509,苯丙酸诺龙
510,苯海拉明
511,苯海索
512,苯磺阿曲库铵
513,苯磺酸氨氯地平
514,苯甲醇
515,苯甲酸
516,苯甲酸雌二醇
517,苯甲酸利扎曲普坦
518,苯噻啶
519,苯妥英钠
520,司帕沙星
521,苯乙双胍
522,苯扎贝特
523,苯扎氯铵
524,苯扎托品
525,苯扎溴铵
526,苯佐卡因
527,苯唑西林钠
528,比卡鲁胺
529,比沙可啶
530,吡贝地尔
531,吡拉西坦
532,吡嗪酰胺
533,苄氟噻嗪
534,苄丝肼
535,表柔比星
536,冰醋酸
537,丙吡胺
538,丙二胺
539,丙卡巴肼
540,丙硫氧嘧啶
541,丙硫异烟胺
542,丙泮尼地
543,丙酸氟替卡松
544,丙酸睾酮
545,丙戊酸镁
546,丙戊酸钠
547,丙戊酰胺
548,波吲洛尔
549,伯氨喹
550,泊利噻嗪
551,茶苯海明
552,呲哌酸
553,雌二醇
554,雌莫司汀
555,促皮质素
556,醋氨苯砜
557,醋丁洛尔
558,醋氯芬酸
559,醋酸
560,醋酸奥曲肽
561,醋酸铬
562,达卡巴嗪
563,达托霉素
564,大观霉素
565,傣肌松
566,单氯芬那酸
567,胆茶碱
568,胆影葡胺
569,蛋白琥珀酸铁
570,氮斯汀
571,锝[ 99mTc]亚甲基二膦酸盐
572,地蒽酚
573,地红霉素
574,地维烯肢
575,碘比醇
576,碘番酸
577,碘海醇
578,碘化钾
579,碘化油
580,碘解磷定
581,碘塞罗宁
582,碘他拉葡胺
583,丁苯那嗪
584,东莨菪碱
585,毒毛花苷K
586,度洛西汀
587,对氨基水杨酸钠
588,对羟基苯甲酸丙酯
589,多巴胺
590,多巴酚丁胺
591,多非利特
592,多库酯钠
593,多奈哌齐
594,多黏菌素B
595,多柔比星
596,多赛平
597,多沙普仑
598,多索茶碱
599,多西他赛
600,鹅去氧胆酸
601,厄他培南
602,恩氟烷
603,恩托卡朋
604,二氮嗪
605,二氟尼柳
606,二羟丙茶碱
607,二氢埃托啡
608,法罗培南钠
609,反苯环丙胺
610,泛癸利酮
611,泛昔洛韦
612,泛影葡胺
613,放线菌素D
614,非尔氨酯
615,非那雄胺
616,非普拉宗
617,酚苄明
618,酚磺酞
619,酚磺乙胺
620,酚酞
621,酚妥拉明
622,夫罗曲坦
623,夫西地酸钠
624,呋喃硫胺
625,呋喃妥因
626,呋喃唑酮
627,伏格列波糖
628,氟胞嘧啶
629,氟比洛芬酯
630,氟达拉滨
631,氟地西泮
632,氟伐他汀钠
633,氟桂利嗪
634,氟尿嘧啶
635,氟哌利多
636,氟哌噻吨
637,氟烷
638,氟西泮
639,福莫司汀
640,福辛普利钠
641,甘氨酸茶碱钠
642,甘草酸二铵
643,甘露醇
644,甘珀酸钠
645,干酵母
646,咯萘啶
647,格拉司琼
648,格列喹酮
649,葛根素
650,格鲁米特
651,枸橼酸铋钾
652,枸橼酸哌嗪
653,枸橼酸舒芬太尼
654,谷氨酸钾
655,枸橼酸锌
656,呱西替柳
657,胍乙啶
658,癸氟奋乃静
659,桂利嗪
660,桂美辛
661,果糖
662,果糖酸钙
663,过氧苯甲酰
664,过氧化碳酰胺
665,还原型谷胱甘肽钠
666,汉防己甲素
667,汉肌松
668,核黄素磷酸钠
669,核糖霉素
670,琥珀氯霉素
671,琥珀酸甲泼尼龙
672,琥珀酸亚铁
673,环丙贝特
674,环己基氨基磺酸钠
675,黄酮哌酯
676,黄氧化汞
677,磺胺甲噁唑
678,磺胺嘧啶
679,磺胺嘧啶银
680,磺胺异噁唑
681,磺吡酮
682,磺苄西林钠
683,灰黄霉素
684,肌苷
685,吉非罗齐
686,吉美前列素
687,己酮可可碱
688,吉他霉素
689,加压素
690,甲苯咪唑
691,甲地高辛
692,甲芬那酸
693,甲砜霉素
694,甲睾酮
695,甲磺酸吉米沙星
696,甲磺酸加替沙星
697,甲磺酸雷沙吉兰
698,甲磺酸帕珠沙星
699,甲磺酸培氟沙星
700,替吉奥
701,甲磺酸沙奎那韦
702,甲磺酸双氢麦角胺
703,甲磺酸托烷司琼
704,甲基多巴
705,甲硫酸新斯的明
706,甲硫氧嘧啶
707,甲氯芬那酸
708,甲氯噻嗪
709,甲哌卡因
710,甲硝唑磷酸二钠
711,甲氧苄啶
712,甲吲洛尔
713,甲状腺粉
714,间羟胺
715,碱式水杨酸铋
716,碱式碳酸铋
717,胶体果胶铋
718,胶体酒石酸铋
719,精氨酸阿司匹林
720,肼屈嗪
721,酒石酸布托啡诺
722,聚明胶肽
723,聚乙二醇干扰素α2a
724,卷曲霉素
725,卡巴匹林钙
726,卡那霉素
727,考来替泊
728,可卡因
729,克拉屈滨
730,克林霉素
731,苦参素
732,夸西泮
733,奎宁
734,喹那普利
735,拉克替醇
736,拉米夫定
737,拉氧头孢钠
738,赖氨匹林
739,榄香烯
740,乐卡地平
741,雷带普利
742,雷莫司琼
743,雷奈酸锶
744,利多氟嗪
745,利伐沙班
746,利福定
747,利福喷丁
748,利血平
749,链激酶
750,链霉素
751,两性霉素B
752,磷霉素
753,磷霉素氨丁三醇
754,磷酸铝
755,膦甲酸钠
756,硫必利
757,硫氯酚
758,硫喷妥钠
759,硫酸钡
760,硫辛酸
761,六甲蜜胺
762,卤沙唑仑
763,罗非昔布
764,罗库溴铵
765,萝芙木碱
766,洛贝林
767,洛美沙星
768,铝碳酸镁
769,铝酸铋
770,氯贝酸铝
771,氯苯那敏
772,氯丙嗪
773,氯氮卓
774,氯法齐明
775,氯化铵
776,氯化钙
777,氯化钴
778,氯化琥珀胆碱
779,氯化钾
780,氯化筒箭毒碱
781,氯解磷定
782,氯喹
783,氯雷他定
784,氯马斯汀
785,氯美噻唑
786,氯米帕明
787,氯诺昔康
788,氯普噻吨
789,氯曲膦酸钠
790,氯烯雌醚
791,氯硝西泮
792,氯唑沙宗
793,马来酸多潘立酮
794,马来酸氟伏沙明
795,马来酸美西麦角
796,马来酸噻吗洛尔
797,马普替林
798,麦白霉素
799,麦迪霉素
800,麦角胺
801,毛花苷丙
802,美罗培南
803,美洛西林
804,美沙拉秦
805,美沙唑仑
806,美司钠
807,美西林
808,门冬氨酸钾镁
809,门冬酰胺酶
810,孟鲁司特钠
811,咪达普利
812,咪唑斯汀
813,米多君
814,米卡芬净
815,米特福辛
816,莫达非尼
817,莫沙必利
818,奈非那韦
819,奈达铂
820,奈西立肽
821,萘啶酸
822,萘夫西林钠
823,奈莫必利
824,奈替米星
825,尼可地尔
826,尿促卵泡素
827,尿激酶
828,牛磺酸
829,帕尼培南
830,帕瑞昔布
831,哌拉西林钠
832,哌仑西平
833,哌替啶
834,泮库溴铵
835,泡非美钠
836,培哚普利叔丁胺盐
837,培洛霉素
838,培美曲塞二钠
839,喷布洛尔
840,喷他佐辛
841,匹美西林
842,匹维溴铵
843,扑米酮
844,葡萄糖酸钙
845,葡萄糖酸锌
846,葡萄糖酸亚铁
847,葡萄糖酸依诺沙星
848,普拉克索
849,普卢利沙星
850,普鲁卡因
851,普鲁卡因青霉素
852,普罗吩胺
853,普瑞巴林
854,齐拉西酮
855,前列地尔
856,羟基脲
857,羟嗪
858,青蒿素
859,青霉素
860,青霉素V钾
861,氢化可的松
862,氢氯吡格雷
863,氢溴酸右美沙芬
864,巯嘌呤
865,曲美布汀
866,曲美他嗪
867,曲妥珠单抗
868,去甲肾上腺素
869,去甲万古霉素
870,去氯羟嗪
871,去羟肌苷
872,去铁胺
873,去氧氟尿苷
874,去氧肾上腺素
875,去氧孕烯
876,去乙酰毛花苷
877,全反式维甲酸
878,炔雌醇
879,炔雌醚
880,炔诺酮
881,柔红霉素
882,鞣酸蛋白
883,鞣酸苦参碱
884,鞣酸小檗碱
885,乳酶生
886,乳酸环丙沙星
887,乳酸菌素
888,乳酸依沙吖啶
889,乳酸钠
890,乳糖酸
891,乳糖酸红霉素
892,瑞舒伐他汀钙
893,塞克硝唑
894,塞曲司特
895,塞替派
896,噻苯唑
897,噻洛芬酸
898,噻奈普汀钠
899,赛庚啶
900,三硅酸镁
901,色甘酸钠
902,沙利度胶
903,山茛菪碱
904,山梨醇
905,肾上腺素
906,生长激素释放抑制激素
907,十一酸睾酮
908,舒巴坦钠
909,双八面体蒙脱石
910,双醋瑞因
911,双碘喹啉
912,双肼屈嗪
913,双氯非那胺
914,双水杨酯
915,双香豆素
916,水合氯醛
917,水杨酸钠
918,顺苯磺酸阿曲库铵
919,顺铂
920,司可巴比妥钠
921,司他夫定
922,丝裂霉素
923,四环素
924,索布佐山
925,他扎罗汀
926,泰利霉素
927,酞磺胺噻唑
928,坦度螺酮
929,坦洛新
930,碳酸氢钠
931,特非那定
932,替比夫定
933,氧氟沙星
934,替卡西林
935,替罗非班
936,替米哌隆
937,替莫唑胺
938,替尼泊苷
939,替硝唑
940,铁补充剂
941,酮咯酸氨丁三醇；
942,酮替芬
943,头孢丙烯
944,头孢泊肟酯
945,头孢布烯
946,头孢地尼
947,头孢呋辛钠
948,头孢呋辛酯
949,头孢拉定
950,头孢美唑
951,头孢孟多酯钠
952,头孢尼西钠
953,头孢哌酮钠
954,头孢匹胺钠
955,头孢匹罗
956,头孢曲松钠
957,头孢噻吩钠
958,头孢噻肟钠
959,头孢他啶
960,头孢替安
961,头孢替坦二钠
962,头孢托仑匹酯
963,头孢唑肟钠
964,土霉素
965,托卡朋
966,托莫西汀
967,托瑞米芬
968,托西酸舒他西林
969,托西溴苄铵
970,妥拉唑啉
971,万古霉素
972,维A酸
973,维胺酯
974,维库溴铵
975,维生素A
976,维生素B1
977,维生素B12
978,维生素B2
979,维生素B6
980,维生素C
981,维生素D2
982,维生素E
983,维生素K1
984,胃蛋白酶
985,胃膜素
986,乌拉地尔特拉唑嗪
987,五氟利多
988,戊巴比妥钠
989,戊四硝酯
990,戊酸雌二醇
991,西拉普利
992,西尼地平
993,西索米星
994,喜树碱
995,细辛脑
996,腺苷
997,腺苷钴胺
998,香豆素
999,消旋卡多曲
1000,消旋山茛菪碱
1001,硝普钠
1002,硝酸硫胺
1003,硝酸毛果芸香碱
1004,硝酸咪康唑
1005,硝酸异山梨酯
1006,硝西泮
1007,小诺霉素
1008,新霉素
1009,胸腺肽
1010,溴丙胺太林
1011,溴新斯的明
1012,亚硫酸氢钠甲萘醌
1013,烟酰胺
1014,洋地黄毒苷
1015,氧化镁
1016,伊布利特
1017,伊托必利
1018,依巴斯汀
1019,依地酸钙钠
1020,依普黄酮
1021,依普利酮
1022,依他尼酸
1023,依替卡因
1024,依替米星
1025,胰岛素
1026,乙胺丁醇
1027,乙琥胺
1028,乙硫异烟胺
1029,乙水杨胺
1030,乙酰麦迪霉素
1031,乙酰唑胺
1032,异丙安替比林
1033,异丙肾上腺素
1034,异甘草酸镁
1035,异环磷酰胶
1036,异卡波肼
1037,异帕米星
1038,异山梨醇
1039,异维A酸
1040,异戊巴比妥
1041,吲达帕胺
1042,茚地那韦
1043,茚诺洛尔
1044,罂粟碱
1045,右苯丙胺
1046,右旋布洛芬
1047,右旋糖酐20
1048,右旋糖酐40
1049,右旋糖酐70
1050,右旋糖酐铁
1051,育亨宾碱
1052,扎来普隆
1053,长春碱
1054,长春西汀
1055,重酒石酸二氢可待因酮
1056,紫霉素
1057,左甲状腺素钠
1058,左卡尼汀
1059,左炔诺孕酮
1060,左旋氨氯地平
1061,佐米曲普坦
1062,唑尼沙胺
1063,地塞米松磷酸钠
1064,非诺洛芬钙
1065,甘草锌
1066,肝素钠
1067,坎地沙坦酯
1068,氯沙坦钾
1069,富马酸替诺福韦二吡呋酯
1070,阿戈美拉汀
1071,艾普拉唑
1072,盐酸羟考酮+对乙酰氨基酚
1073,对乙酰氨基酚+酒石酸双氢可待因
1074,盐酸氨溴索+盐酸克仑特罗
1075,布地奈德福莫特罗
1076,地奈德
1077,碘
1078,碘普罗胺
1079,碘克沙醇
1080,长型双歧杆菌
1081,保加利亚乳杆菌
1082,嗜热链球菌
1083,乳酸杆菌
1084,嗜酸乳杆菌
1085,乳酸链球菌
1086,多粘菌素B硫酸盐
1087,多粘菌素E硫酸盐
1088,先锋霉素I
1089,多糖铁
1090,富马酸卢帕他定
1091,屈螺酮
1092,加贝酯
1093,脑下垂体促性腺激素
1094,还原型谷胱甘肽
1095,甲磺酸溴隐亭
1096,盐酸丙卡特罗
1097,盐酸乌拉地尔
1098,盐酸利托君
1099,盐酸卡替洛尔
1100,盐酸地尔硫卓
1101,盐酸奥布卡因
1102,盐酸沙格雷酯
1103,盐酸米诺环素
1104,纳美芬
1105,盐酸达克罗宁
1106,米非司酮
1107,聚普瑞锌
1108,谷胱甘肽
1109,贝前列素钠
1110,酮咯酸氨丁三醇
1111,醋酸曲安奈德
1112,重组人粒细胞刺激因子
1113,重组人粒细胞集落刺激因子
1114,重组人表皮生长因子
1115,重酒石酸去甲肾上腺素
1116,重酒石酸间羟胺
1117,阿利沙坦酯
1118,阿利沙坦片
1119,马来酸依那普利
1120,马来酸氟吡汀
1121,骨化三醇
1122,吡喹酮
1123,乙胺嗪
1124,左旋咪唑
1125,奈福泮
1126,美索比妥
1127,纳洛酮
1128,烯丙吗啡
1129,利福布丁
1130,橙汁
1131,苹果汁
1132,特立帕肽
1133,葡萄糖胰岛素
1134,环孢素A
1135,烟草
1136,磺胺多辛
1137,希美加群
1138,磷酸克林霉素
1139,盐酸林可霉素
1140,维生素B族
1141,琥珀酸氢化可的松
1142,氟维司群
1143,阿洛司琼
1144,酒
1145,PPI
1146,SSRls
1147,阿昔单抗
1148,磺达肝素钠
1149,美拉加群
1150,纳豆激酶
1151,培美曲塞
1152,巧克力
1153,西拉非班
1154,格列苯脲
1155,他索沙坦
1156,夫西地酸
1157,那非那韦
1158,沙奎那韦
1159,替拉那韦
1160,睾酮
1161,依曲康唑
1162,铁
1163,洛匹那韦
1164,ARB
1165,曲马多
1166,托洛沙酮
1167,帕吉林
1168,锂盐
1169,西肽普兰
1170,七氟烷
1171,罗红霉素
1172,林可霉素
1173,麻黄碱
1174,阿霉素
1175,依托泊苷
1176,头孢西丁
1177,卡索匹坦
1178,环磷酸胺
1179,头孢噻甲羧肟
1180,丝氨酸
1181,皮质醇
1182,胡萝卜素
1183,阿莫非尼
1184,苯丙香豆素
1185,达芦那韦
1186,吉米沙星
1187,帕立骨化醇
1188,水杨酸盐
1189,替加色罗
1190,伊伐雷定
1191,茵栀黄
1192,银杏
1193,咪康唑
1194,氨苄西林
1195,缓释
1196,口服葡萄糖
1197,噻奈普汀
1198,氟奋乃静
1199,硫利达嗪
1200,三氟丙嗪
1201,乙酰丙嗪
1202,美索达嗪
1203,氯贝胺
1204,曲米帕明
1205,阿莫沙平
1206,多塞平
1207,汞撒利
1208,贝美噻嗪
1209,环戊噻嗪
1210,美托拉宗
1211,牛奶
1212,扎那米韦
1213,吗啡 
1214,卡比多巴
1215,地西泮 
1216,琥珀胆碱
1217,多佐胺
1218,呋塞米 
1219,瑞马西胺
1220,瑞替加滨
1221,拉帕替尼
1222,伊沙匹隆
1223,依立替康
1224,齐留通
1225,噻加宾
1226,奶酪
1227,丙咪嗪
1228,6-巯嘌呤
1229,磷酸钾
1230,非索非那定
1231,双氯西林
1232,头孢唑林
1233,头孢唑肟
1234,扎西他滨
1235,头孢菌素
1236,美替拉酮
1237,舒立克隆
1238,锌
1239,茴茚二酮
1240,甲状腺素
1241,阿塞那平
1242,多立培南
1243,壳聚糖
1244,芍药根
1245,去氧苯比妥
1246,酰胺咪嗪
1247,呋山那韦
1248,右美托咪定
1249,镇痛
1250,三氧化二砷
1251,苄普地尔
1252,左醋美沙多
1253,酮色林
1254,安妥沙星
1255,黄豆苷元
1256,芦氟沙星
1257,罗匹尼罗
1258,托波力农
1259,西洛司特
1260,四环素族盐酸盐
1261,西他生坦
1262,酮咯酸
1263,乙酰水杨酸
1264,葡萄糖
1265,双氢麦角胺
1266,去甲替林
1267,甲氟喹
1268,阿加曲班
1269,阿齐利特
1270,阿瑞匹坦
1271,艾司利卡西平
1272,胶碘酮
1273,刺五加
1274,克列莫佛
1275,拉索昔芬
1276,咪达那新
1277,司维拉姆
1278,他林洛尔
1279,替吉环素
1280,依那西普
1281,左西孟旦
1282,泮库溴胺
1283,依酚氯胺
1284,白陶土
1285,果胶
1286,对氨水杨酸
1287,普鲁本辛
1288,丁丙诺啡
1289,异烟胼
1290,西那卡塞
1291,德伦环烷
1292,帕瑞考昔
1293,普兰林肽
1294,颠茄
1295,山莨菪碱
1296,颠茄片
1297,ACEI
1298,镁盐
1299,米格列醇
1300,替诺福韦
1301,二氢可待因
1302,尼罗替尼
1303,哌唑嗪
1304,干扰素
1305,甲氨蝶呤鞘内
1306,头孢布腾
1307,头孢泊肟
1308,地拉夫定
1309,塞维利亚橙汁
1310,考来维仑
1311,右丙氧芬
1312,西布曲明
1313,氧化亚氮
1314,奥马曲拉
1315,锂
1316,清蛋白
1317,头孢噻啶
1318,替利定
1319,阿司眯唑
1320,他克林
1321,地拉韦啶
1322,卤泛群
1323,氯磺丁脲
1324,屁古丁
1325,异丙嗪
1326,巴比妥
1327,饮茶
1328,咖啡
1329,地氯雷他定
1330,珠氯噻醇
1331,依替巴肽
1332,复方磺胺甲噁唑
1333,芝麻油
1334,羟保泰松
1335,双氯苯咪唑全身途径
1336,口服凝胶
1337,伊那普利
1338,MAOIs
1339,丹那唑
1340,替可克肽
1341,羟苄羟麻黄碱
1342,舒喘宁
1343,三丁喘宁
1344,亚胺培南一西司他丁钠
1345,喷他咪
1346,硫酸锌
1347,非尔氨脂
1348,环索奈德
1349,双氢麦角隐亭
1350,左卡巴斯汀
1351,洛伐他丁
1352,阿托伐醌
1353,安立生坦
1354,布可隆
1355,大麻
1356,大蒜
1357,丹参
1358,豆浆
1359,厄洛替厄
1360,恩他卡朋
1361,蜂王浆
1362,氟氯西林
1363,龟苓膏
1364,花粉
1365,拉罗匹仑
1366,利福昔明
1367,蔓越莓
1368,母菊
1369,奈比卡朋
1370,萘夫西林
1371,枸杞
1372,屈奈达隆
1373,生姜
1374,生脉饮
1375,石榴汁
1376,替勃龙
1377,替尼达普
1378,西洋参
1379,硝唑沙奈
1380,依普罗沙坦
1381,依托孕烯
1382,鱼油
1383,多不饱和脂肪酸
1384,呋喃香豆素
